width,height,type,region,model,height-min,height-max,stories
28,10,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-28x10m.obj,,,1
28,18,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-28x18m.obj,,,1
30,23,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-30x23m.obj,,,1
31,10,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-31x10m-a.obj,,,1
31,10,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-31x10m.obj,,,1
31,13,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-31x13m.obj,,,1
32,15,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-32x15m-a.obj,,,1
32,15,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-32x15m.obj,,,1
32,37,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-32x37m.obj,,,1
33,20,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-33x20m.obj,,,1
34,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-34x11m.obj,,,1
35,27,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-35x27m.obj,,,1
35,30,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-35x30m-vez.obj,,,1
35,60,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-35x60m.obj,,,1
36,16,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-36x16m.obj,,,1
37,10,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-37x10m.obj,,,1
38,15,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-38x15m-a.obj,,,1
38,15,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-38x15m.obj,,,1
38,26,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-38x26m.obj,,,1
41,12,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-41x12m.obj,,,1
46,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-46x11m-a.obj,,,1
46,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-46x11m-b.obj,,,1
46,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-46x11m-c.obj,,,1
46,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-46x11m-d.obj,,,1
46,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-46x11m.obj,,,1
46,12,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-46x12m.obj,,,1
46,14,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-46x14m.obj,,,1
46,30,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-46x30m-a.obj,,,1
46,30,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-46x30m-b.obj,,,1
46,30,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-46x30m.obj,,,1
49,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-49x11m.obj,,,1
49,12,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-49x12m-a.obj,,,1
49,12,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-49x12m.obj,,,1
52,12,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-52x12m.obj,,,1
55,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-55x11m.obj,,,1
56,10,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-56x10m.obj,,,1
58,21,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-58x21m.obj,,,1
60,35,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-60x35m.obj,,,1
69,12,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-69x12m.obj,,,1
7,4,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-7x4m.obj,,,1
80,12,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-80x12m.obj,,,1
82,14,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-82x14m.obj,,,1
87,15,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-87x15m.obj,,,1
91,14,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-91x14m.obj,,,1
9,11,airport,CE,R2_Library/budovy/letiste/hangary/JB_Hangar-9x11m.obj,,,1
