width,length,type,region,model,height-min,height-max,stories,shape,library,tags

# Great Britain France 
Ireland and Netherlands
3.76,7.95,residential,GB;IE,objects/houses/EU/GB/R_3.76x7.95_UK_2.obj,,,2,SQ,W2XP
4.0,7.0,residential,GB;IE,objects/houses/EU/GB/R_4.5x8.0_UK_1.obj,,,2,SQ,W2XP
4.0,7.0,residential,GB;IE,objects/houses/EU/GB/R_4.5x8.0_UK_2.obj,,,2,SQ,W2XP
4.0,7.0,residential,GB;IE,objects/houses/EU/GB/R_4.5x8.0_UK_3.obj,,,2,SQ,W2XP
4.0,7.0,residential,GB;IE,objects/houses/EU/GB/R_4.5x8.0_UK_4.obj,,,2,SQ,W2XP
4.69,9.82,residential,GB;IE,objects/houses/EU/GB/R_4.96x9.82_UK_1.obj,,,2,SQ,W2XP
4.69,9.82,residential,GB;IE,objects/houses/EU/GB/R_4.96x9.82_UK_2.obj,,,2,SQ,W2XP
5.0,12.0,residential,GB;IE,objects/houses/EU/GB/R_5.0x12.0_UK_1.obj,,,,SQ,W2XP
5.0,12.0,residential,GB;IE,objects/houses/EU/GB/R_5.0x12.0_UK_2.obj,,,,SQ,W2XP
5.0,12.0,residential,GB;IE,objects/houses/EU/GB/R_5.0x12.0_UK_3.obj,,,,SQ,W2XP
5.0,12.0,residential,GB;IE,objects/houses/EU/GB/R_5.0x12.0_UK_4.obj,,,,SQ,W2XP
5.74,8.12,residential,GB;IE,objects/houses/EU/GB/R_5.74x8.12_UK_1.obj,,,,SQ,W2XP
5.74,8.12,residential,GB;IE,objects/houses/EU/GB/R_5.74x8.12_UK_2.obj,,,,SQ,W2XP
5.74,8.12,residential,GB;IE,objects/houses/EU/GB/R_5.74x8.12_UK_3.obj,,,,SQ,W2XP
5.00,16.00,residential,GB;IE,objects/houses/EU/GB/RES_5.00x16.00_UK_1.obj,,,,SQ,W2XP
5.00,16.00,residential,GB;IE,objects/houses/EU/GB/RES_5.00x16.00_UK_2.obj,,,,SQ,W2XP
5.00,17.00,residential,GB;IE,objects/houses/EU/GB/RES_5.00x17.00_UK_1.obj,,,,SQ,W2XP
5.00,17.00,residential,GB;IE,objects/houses/EU/GB/RES_5.00x17.00_UK_2.obj,,,,SQ,W2XP
5.00,18.00,residential,GB;IE,objects/houses/EU/GB/RES_5.00x18.00_UK_1.obj,,,,SQ,W2XP
5.00,18.00,residential,GB;IE,objects/houses/EU/GB/RES_5.00x18.00_UK_2.obj,,,,SQ,W2XP
5.00,19.00,residential,GB;IE,objects/houses/EU/GB/RES_5.00x19.00_UK_1.obj,,,,SQ,W2XP
5.00,19.00,residential,GB;IE,objects/houses/EU/GB/RES_5.00x19.00_UK_2.obj,,,,SQ,W2XP
5.00,20.00,residential,GB;IE,objects/houses/EU/GB/RES_5.00x20.00_UK_1.obj,,,,SQ,W2XP
5.00,20.00,residential,GB;IE,objects/houses/EU/GB/RES_5.00x20.00_UK_2.obj,,,,SQ,W2XP
5.00,21.00,residential,GB;IE,objects/houses/EU/GB/RES_5.00x21.00_UK_1.obj,,,,SQ,W2XP
5.00,21.00,residential,GB;IE,objects/houses/EU/GB/RES_5.00x21.00_UK_2.obj,,,,SQ,W2XP
5.00,22.00,residential,GB;IE,objects/houses/EU/GB/RES_5.00x22.00_UK_1.obj,,,,SQ,W2XP
5.00,22.00,residential,GB;IE,objects/houses/EU/GB/RES_5.00x22.00_UK_2.obj,,,,SQ,W2XP
5.00,23.00,residential,GB;IE,objects/houses/EU/GB/RES_5.00x23.00_UK_1.obj,,,,SQ,W2XP
